1024
1027
  39  105
  71  202
 104  299
 136  396
 168  493
 201  590
 233  687
 265  784
 298  881
 330  978
  20   48
  52  145
  85  242
 117  339
 149  436
 182  533
 214  630
 246  727
 279  824
 311  921
 343 1018
  33   88
  66  185
  98  282
 130  379
 163  476
 195  573
 227  670
 260  767
 292  864
 324  961
  14   31
  47  128
  79  225
 111  322
 144  419
 176  516
 208  613
 241  710
 273  807
 305  904
 338 1001
  28   71
  60  168
  92  265
 125  362
 157  459
 189  556
 222  653
 254  750
 286  847
 319  944
   9   14
  41  111
  73  208
 106  305
 138  402
 170  499
 203  596
 235  693
 267  790
 300  887
 332  984
  22   54
  54  151
  87  248
 119  345
 151  442
 184  539
 216  636
 248  733
 281  830
 313  927
 345    0
  35   94
  68  191
 100  288
 132  385
 165  482
 197  579
 229  676
 262  773
 294  870
 326  967
  16   37
  49  134
  81  231
 113  328
 146  425
 178  522
 210  619
 243  716
 275  813
 307  910
 340 1007
  30   77
  62  174
  94  271
 127  368
 159  465
 191  562
 224  659
 256  756
 288  853
 321  950
  11   20
  43  117
  75  214
 108  311
 140  408
 172  505
 205  602
 237  699
 269  796
 302  893
 334  990
  24   60
  56  157
  89  254
 121  351
 153  448
 186  545
 218  642
 250  739
 283  836
 315  933
 347    6
  37  100
  70  197
 102  294
 134  391
 167  488
 199  585
 231  682
 264  779
 296  876
 328  973
  18   43
  51  140
  83  237
 115  334
 148  431
 180  528
 212  625
 245  722
 277  819
 309  916
 342 1013
  32   83
  64  180
  96  277
 129  374
 161  471
 193  568
 226  665
 258  762
 290  859
 323  956
  13   26
  45  123
  77  220
 110  317
 142  414
 174  511
 207  608
 239  705
 271  802
 304  899
 336  996
  26   66
  58  163
  91  260
 123  357
 155  454
 188  551
 220  648
 252  745
 285  842
 317  939
   7    9
  39  106
  72  203
 104  300
 136  397
 169  494
 201  591
 233  688
 266  785
 298  882
 330  979
  20   49
  53  146
  85  243
 117  340
 150  437
 182  534
 214  631
 247  728
 279  825
 311  922
 344 1019
  34   89
  66  186
  98  283
 131  380
 163  477
 195  574
 228  671
 260  768
 292  865
 325  962
  15   32
  47  129
  79  226
 112  323
 144  420
 176  517
 209  614
 241  711
 273  808
 306  905
 338 1002
  28   72
  60  169
  93  266
 125  363
 157  460
 190  557
 222  654
 254  751
 287  848
 319  945
   9   15
  41  112
  74  209
 106  306
 138  403
 171  500
 203  597
 235  694
 268  791
 300  888
 332  985
  22   55
  55  152
  87  249
 119  346
 152  443
 184  540
 216  637
 249  734
 281  831
 313  928
 346    1
  36   95
  68  192
 100  289
 133  386
 165  483
 197  580
 230  677
 262  774
 294  871
 327  968
  17   38
  49  135
  81  232
 114  329
 146  426
 178  523
 211  620
 243  717
 275  814
 308  911
 340 1008
  30   78
  62  175
  95  272
 127  369
 159  466
 192  563
 224  660
 256  757
 289  854
 321  951
  11   21
  43  118
  76  215
 108  312
 140  409
 173  506
 205  603
 237  700
 270  797
 302  894
 334  991
  24   61
  57  158
  89  255
 121  352
 154  449
 186  546
 218  643
 251  740
 283  837
 315  934
   9    8
  38  101
  70  198
 102  295
 135  392
 167  489
 199  586
 232  683
 264  780
 296  877
 329  974
  19   44
  51  141
  83  238
 116  335
 148  432
 180  529
 213  626
 245  723
 277  820
 310  917
 342 1014
  32   84
  64  181
  97  278
 129  375
 161  472
 194  569
 226  666
 258  763
 291  860
 323  957
  13   27
  45  124
  78  221
 110  318
 142  415
 175  512
 207  609
 239  706
 272  803
 304  900
 336  997
  26   67
  59  164
  91  261
 123  358
 156  455
 188  552
 220  649
 253  746
 285  843
 317  940
   7   10
  40  107
  72  204
 104  301
 137  398
 169  495
 201  592
 234  689
 266  786
 298  883
 331  980
  21   50
  53  147
  85  244
 118  341
 150  438
 182  535
 215  632
 247  729
 279  826
 312  923
 344 1020
  34   90
  66  187
  99  284
 131  381
 163  478
 196  575
 228  672
 260  769
 293  866
 325  963
  15   33
  47  130
  80  227
 112  324
 144  421
 177  518
 209  615
 241  712
 274  809
 306  906
 338 1003
  28   73
  61  170
  93  267
 125  364
 158  461
 190  558
 222  655
 255  752
 287  849
 319  946
   9   16
  42  113
  74  210
 106  307
 139  404
 171  501
 203  598
 236  695
 268  792
 300  889
 333  986
  23   56
  55  153
  87  250
 120  347
 152  444
 184  541
 217  638
 249  735
 281  832
 314  929
 346    2
  36   96
  68  193
 101  290
 133  387
 165  484
 198  581
 230  678
 262  775
 295  872
 327  969
  17   39
  49  136
  82  233
 114  330
 146  427
 179  524
 211  621
 243  718
 276  815
 308  912
 340 1009
  30   79
  63  176
  95  273
 127  370
 160  467
 192  564
 224  661
 257  758
 289  855
 321  952
  11   22
  44  119
  76  216
 108  313
 141  410
 173  507
 205  604
 238  701
 270  798
 302  895
 335  992
  25   62
  57  159
  89  256
 122  353
 154  450
 186  547
 219  644
 251  741
 283  838
 316  935
  18    9
  38  102
  70  199
 103  296
 135  393
 167  490
 200  587
 232  684
 264  781
 297  878
 329  975
  19   45
  51  142
  84  239
 116  336
 148  433
 181  530
 213  627
 245  724
 278  821
 310  918
 342 1015
  32   85
  65  182
  97  279
 129  376
 162  473
 194  570
 226  667
 259  764
 291  861
 323  958
  13   28
  46  125
  78  222
 110  319
 143  416
 175  513
 207  610
 240  707
 272  804
 304  901
 337  998
  27   68
  59  165
  91  262
 124  359
 156  456
 188  553
 221  650
 253  747
 285  844
 318  941
   8   11
  40  108
  72  205
 105  302
 137  399
 169  496
 202  593
 234  690
 266  787
 299  884
 331  981
  21   51
  53  148
  86  245
 118  342
 150  439
 183  536
 215  633
 247  730
 280  827
 312  924
 344 1021
  34   91
  67  188
  99  285
 131  382
 164  479
 196  576
 228  673
 261  770
 293  867
 325  964
  15   34
  48  131
  80  228
 112  325
 145  422
 177  519
 209  616
 242  713
 274  810
 306  907
 339 1004
  29   74
  61  171
  93  268
 126  365
 158  462
 190  559
 223  656
 255  753
 287  850
 320  947
  10   17
  42  114
  74  211
 107  308
 139  405
 171  502
 204  599
 236  696
 268  793
 301  890
 333  987
  23   57
  55  154
  88  251
 120  348
 152  445
 185  542
 217  639
 249  736
 282  833
 314  930
 346    3
  36   97
  69  194
 101  291
 133  388
 166  485
 198  582
 230  679
 263  776
 295  873
 327  970
  17   40
  50  137
  82  234
 114  331
 147  428
 179  525
 211  622
 244  719
 276  816
 308  913
 341 1010
  31   80
  63  177
  95  274
 128  371
 160  468
 192  565
 225  662
 257  759
 289  856
 322  953
  12   23
  44  120
  76  217
 109  314
 141  411
 173  508
 206  605
 238  702
 270  799
 303  896
 335  993
  25   63
  57  160
  90  257
 122  354
 154  451
 187  548
 219  645
 251  742
 284  839
 316  936
  22   14
  38  103
  71  200
 103  297
 135  394
 168  491
 200  588
 232  685
 265  782
 297  879
 329  976
  19   46
  52  143
  84  240
 116  337
 149  434
 181  531
 213  628
 246  725
 278  822
 310  919
 343 1016
  33   86
  65  183
  97  280
 130  377
 162  474
 194  571
 227  668
 259  765
 291  862
 324  959
  14   29
  46  126
  78  223
 111  320
 143  417
 175  514
 208  611
 240  708
 272  805
 305  902
 337  999
  27   69
  59  166
  92  263
 124  360
 156  457
 189  554
 221  651
 253  748
 286  845
 318  942
   8   12
  40  109
  73  206
 105  303
 137  400
 170  497
 202  594
 234  691
 267  788
 299  885
 331  982
  21   52
  54  149
  86  246
 118  343
 151  440
 183  537
 215  634
 248  731
 280  828
 312  925
 345 1022
  35   92
  67  189
  99  286
 132  383
 164  480
 196  577
 229  674
 261  771
 293  868
 326  965
  16   35
  48  132
  80  229
 113  326
 145  423
 177  520
 210  617
 242  714
 274  811
 307  908
 339 1005
  29   75
  61  172
  94  269
 126  366
 158  463
 191  560
 223  657
 255  754
 288  851
 320  948
  10   18
  42  115
  75  212
 107  309
 139  406
 172  503
 204  600
 236  697
 269  794
 301  891
